Time,Publication,Sent
2022-05-23 18:23:43.429745+10:00,News,0
2022-05-23 18:23:45.507341+10:00,SMH,8
2022-05-24 06:18:47.393329+10:00,ABC,20
2022-05-24 06:19:23.181755+10:00,News,0
2022-05-24 06:19:24.991759+10:00,SMH,8
2022-05-24 18:22:26.730129+10:00,ABC,20
2022-05-24 18:22:49.168387+10:00,SBS,12
2022-05-24 18:23:08.623524+10:00,News,0
2022-05-24 18:23:10.572514+10:00,SMH,9
2022-05-25 06:19:45.317378+10:00,ABC,20
2022-05-25 06:20:04.548751+10:00,SBS,12
2022-05-25 06:20:27.810276+10:00,News,0
2022-05-25 06:20:29.857550+10:00,SMH,10
2022-05-25 18:22:06.896071+10:00,ABC,20
2022-05-25 18:22:28.029168+10:00,SBS,12
2022-05-25 18:22:45.791528+10:00,News,0
2022-05-25 18:22:47.619892+10:00,SMH,8
2022-05-26 06:18:51.965657+10:00,ABC,20
2022-05-26 06:19:07.548557+10:00,SBS,12
2022-05-26 06:19:24.369385+10:00,News,0
2022-05-26 06:19:26.110603+10:00,SMH,9
2022-05-26 18:23:32.570692+10:00,ABC,20
2022-05-26 18:23:59.897328+10:00,SBS,12
2022-05-26 18:24:16.757789+10:00,News,0
2022-05-26 18:24:18.549356+10:00,SMH,8
2022-05-27 06:19:22.921492+10:00,ABC,20
2022-05-27 06:19:49.890998+10:00,News,0
2022-05-27 06:19:51.775585+10:00,SMH,8
2022-05-27 18:21:54.846769+10:00,ABC,20
2022-05-27 18:22:26.235087+10:00,News,0
2022-05-27 18:22:28.276662+10:00,SMH,9
2022-05-28 06:18:47.239901+10:00,ABC,20
2022-05-28 06:19:22.137522+10:00,News,0
2022-05-28 06:19:24.153191+10:00,SMH,10
2022-05-28 18:22:26.389322+10:00,ABC,20
2022-05-28 18:23:07.722418+10:00,News,0
2022-05-28 18:23:10.069553+10:00,SMH,8
2022-05-29 06:18:00.510883+10:00,ABC,20
2022-05-29 06:18:30.050827+10:00,News,0
2022-05-29 06:18:31.955303+10:00,SMH,10
2022-05-29 18:20:57.131440+10:00,ABC,20
2022-05-29 18:21:17.509055+10:00,SBS,12
2022-05-29 18:21:34.372350+10:00,News,0
2022-05-29 18:21:36.117121+10:00,SMH,9
2022-05-30 06:18:32.680140+10:00,ABC,20
2022-05-30 06:18:51.552701+10:00,SBS,12
2022-05-30 06:19:11.027617+10:00,News,0
2022-05-30 06:19:13.004407+10:00,SMH,9
2022-05-30 18:24:07.427769+10:00,ABC,20
2022-05-30 18:24:32.499599+10:00,SBS,12
2022-05-30 18:24:45.622281+10:00,News,0
2022-05-30 18:24:47.426699+10:00,SMH,7
2022-05-31 06:18:45.163794+10:00,ABC,20
2022-05-31 06:19:07.605734+10:00,SBS,12
2022-05-31 06:19:28.574145+10:00,News,0
2022-05-31 06:19:30.443423+10:00,SMH,10
2022-05-31 18:25:43.128399+10:00,ABC,20
2022-05-31 18:26:12.139810+10:00,News,0
2022-05-31 18:26:14.144431+10:00,SMH,7
2022-06-01 06:19:56.577235+10:00,ABC,20
2022-06-01 06:20:25.530524+10:00,News,0
2022-06-01 06:20:27.483329+10:00,SMH,8
2022-06-01 18:25:56.582054+10:00,ABC,20
2022-06-01 18:26:17.239242+10:00,SBS,12
2022-06-01 18:26:36.245057+10:00,News,0
2022-06-01 18:26:38.125713+10:00,SMH,10
2022-06-02 06:19:37.266675+10:00,ABC,20
2022-06-02 06:19:57.846201+10:00,SBS,12
2022-06-02 06:20:15.756471+10:00,News,0
2022-06-02 06:20:17.510525+10:00,SMH,10
2022-06-02 18:22:47.185263+10:00,ABC,20
2022-06-02 18:23:05.762992+10:00,SBS,12
2022-06-02 18:23:24.044935+10:00,News,0
2022-06-02 18:23:25.925516+10:00,SMH,10
2022-06-03 06:17:48.692929+10:00,ABC,20
2022-06-03 06:18:11.980180+10:00,SBS,12
2022-06-03 06:18:30.944125+10:00,News,0
2022-06-03 06:18:32.818784+10:00,SMH,8
2022-06-03 18:19:43.637239+10:00,ABC,20
2022-06-03 18:20:12.992347+10:00,News,0
2022-06-03 18:20:14.891257+10:00,SMH,9
2022-06-04 06:17:24.316679+10:00,ABC,20
2022-06-04 06:18:04.144986+10:00,News,0
2022-06-04 06:18:05.957993+10:00,SMH,10
2022-06-04 18:19:08.513400+10:00,ABC,20
2022-06-04 18:19:27.144454+10:00,SBS,12
2022-06-04 18:19:42.183453+10:00,News,0
2022-06-04 18:19:43.827345+10:00,SMH,9
2022-06-05 06:16:12.510077+10:00,ABC,20
2022-06-05 06:16:27.501772+10:00,SBS,12
2022-06-05 06:16:47.000006+10:00,News,0
2022-06-05 06:16:48.711307+10:00,SMH,10
2022-06-05 18:19:21.532793+10:00,ABC,20
2022-06-05 18:19:41.995859+10:00,SBS,12
2022-06-05 18:19:58.445917+10:00,News,0
2022-06-05 18:20:00.258349+10:00,SMH,8
2022-06-06 06:16:17.543084+10:00,ABC,20
2022-06-06 06:16:38.918738+10:00,SBS,12
2022-06-06 06:16:56.022334+10:00,News,0
2022-06-06 06:16:57.996936+10:00,SMH,9
2022-06-06 18:19:13.681372+10:00,ABC,20
2022-06-06 18:19:40.554700+10:00,News,0
2022-06-06 18:19:42.418984+10:00,SMH,8
2022-06-07 06:16:49.605688+10:00,ABC,20
2022-06-07 06:17:19.771835+10:00,News,0
2022-06-07 06:17:21.682211+10:00,SMH,9
2022-06-07 18:21:46.759171+10:00,ABC,20
2022-06-07 18:22:13.244001+10:00,News,0
2022-06-07 18:22:15.100819+10:00,SMH,8
2022-06-08 06:18:12.759721+10:00,ABC,20
2022-06-08 06:18:48.580298+10:00,News,0
2022-06-08 06:18:50.565229+10:00,SMH,7
2022-06-08 18:23:17.557865+10:00,ABC,20
2022-06-08 18:23:43.591462+10:00,News,0
2022-06-08 18:23:45.609670+10:00,SMH,8
2022-06-09 06:17:15.011040+10:00,ABC,20
2022-06-09 06:17:45.908266+10:00,News,0
2022-06-09 06:17:47.633130+10:00,SMH,8
2022-06-09 18:23:30.592789+10:00,ABC,20
2022-06-09 18:23:50.503239+10:00,SBS,12
2022-06-09 18:24:08.290477+10:00,News,0
2022-06-09 18:24:10.112550+10:00,SMH,7
2022-06-10 06:17:56.436569+10:00,ABC,20
2022-06-10 06:18:20.070107+10:00,SBS,12
2022-06-10 06:18:45.476728+10:00,News,0
2022-06-10 06:18:47.630710+10:00,SMH,7
2022-06-10 18:23:03.852686+10:00,SBS,12
2022-06-10 18:23:20.307699+10:00,News,0
2022-06-10 18:23:22.255187+10:00,SMH,6
2022-06-11 06:16:16.326019+10:00,ABC,20
2022-06-11 06:16:37.560691+10:00,SBS,12
2022-06-11 06:16:54.743657+10:00,News,0
2022-06-11 06:16:56.618636+10:00,SMH,10
2022-06-11 18:19:12.976352+10:00,ABC,20
2022-06-11 18:19:34.468028+10:00,SBS,12
2022-06-11 18:19:51.828296+10:00,News,0
2022-06-11 18:19:53.581017+10:00,SMH,9
2022-06-12 06:16:31.573824+10:00,ABC,20
2022-06-12 06:16:55.928944+10:00,SBS,12
2022-06-12 06:17:17.522238+10:00,News,0
2022-06-12 06:17:19.364879+10:00,SMH,10
2022-06-12 18:19:13.205154+10:00,SBS,12
2022-06-12 18:19:30.652769+10:00,News,0
2022-06-12 18:19:32.549377+10:00,SMH,8
2022-06-13 06:17:34.762816+10:00,ABC,20
2022-06-13 06:17:53.193733+10:00,SBS,12
2022-06-13 06:18:11.111248+10:00,News,0
2022-06-13 06:18:13.067904+10:00,SMH,8
2022-06-14 06:18:45.168037+10:00,ABC,20
2022-06-14 06:19:03.024402+10:00,SBS,12
2022-06-14 06:19:23.597248+10:00,News,0
2022-06-14 06:19:25.574363+10:00,SMH,7
2022-06-14 18:21:59.820342+10:00,ABC,20
2022-06-14 18:22:27.754072+10:00,News,0
2022-06-14 18:22:29.466132+10:00,SMH,7
2022-06-15 06:17:12.182363+10:00,ABC,20
2022-06-15 06:17:49.707817+10:00,News,0
2022-06-15 06:17:51.438616+10:00,SMH,7
2022-06-15 18:23:07.325742+10:00,ABC,20
2022-06-15 18:23:26.789974+10:00,SBS,12
2022-06-15 18:23:45.124601+10:00,News,0
2022-06-15 18:23:46.977174+10:00,SMH,10
2022-06-16 06:17:37.458028+10:00,ABC,20
2022-06-16 06:17:58.329521+10:00,SBS,12
2022-06-16 06:18:21.125108+10:00,News,0
2022-06-16 06:18:22.792645+10:00,SMH,9
2022-06-16 18:24:10.729713+10:00,ABC,20
2022-06-16 18:24:31.581040+10:00,SBS,12
2022-06-16 18:24:55.850748+10:00,News,0
2022-06-16 18:24:57.658110+10:00,SMH,8
2022-06-17 06:17:21.895005+10:00,ABC,20
2022-06-17 06:17:43.939153+10:00,SBS,12
2022-06-17 06:18:09.060701+10:00,News,0
2022-06-17 06:18:11.041630+10:00,SMH,8
2022-06-17 18:22:19.627127+10:00,ABC,20
2022-06-17 18:22:51.049920+10:00,News,0
2022-06-17 18:22:52.725572+10:00,SMH,7
2022-06-18 06:16:06.121924+10:00,ABC,20
2022-06-18 06:16:44.523977+10:00,News,0
2022-06-18 06:16:46.562905+10:00,SMH,10
2022-06-18 18:20:02.266729+10:00,ABC,20
2022-06-18 18:20:34.205099+10:00,News,0
2022-06-18 18:20:36.119693+10:00,SMH,9
2022-06-19 06:16:16.795522+10:00,ABC,20
2022-06-19 06:16:50.739511+10:00,News,0
2022-06-19 06:16:52.560706+10:00,SMH,10
2022-06-19 18:19:08.043030+10:00,ABC,20
2022-06-19 18:19:28.381893+10:00,SBS,12
2022-06-19 18:19:46.312737+10:00,News,0
2022-06-19 18:19:48.047256+10:00,SMH,7
2022-06-20 06:17:18.654121+10:00,ABC,20
2022-06-20 06:17:37.972701+10:00,SBS,12
2022-06-20 06:17:55.974304+10:00,News,0
2022-06-20 06:17:57.778981+10:00,SMH,7
2022-06-20 18:23:53.088514+10:00,ABC,20
2022-06-20 18:24:15.370008+10:00,SBS,12
2022-06-20 18:24:35.984624+10:00,News,0
2022-06-20 18:24:37.784063+10:00,SMH,7
2022-06-21 06:18:50.543002+10:00,ABC,20
2022-06-21 06:19:13.848331+10:00,SBS,12
2022-06-21 06:19:32.754972+10:00,News,0
2022-06-21 06:19:34.553763+10:00,SMH,5
2022-06-21 18:25:53.328649+10:00,ABC,20
2022-06-21 18:26:22.905896+10:00,News,0
2022-06-21 18:26:24.610621+10:00,SMH,7
2022-06-22 06:17:41.066300+10:00,ABC,20
2022-06-22 06:18:14.352549+10:00,News,0
2022-06-22 06:18:16.476580+10:00,SMH,8
2022-06-22 18:24:46.909125+10:00,SBS,12
2022-06-22 18:25:02.197688+10:00,News,0
2022-06-22 18:25:03.846661+10:00,SMH,5
2022-06-23 06:17:10.402787+10:00,ABC,20
2022-06-23 06:17:32.782189+10:00,SBS,12
2022-06-23 06:17:49.982587+10:00,News,0
2022-06-23 06:17:51.801239+10:00,SMH,9
2022-06-23 18:23:26.996398+10:00,ABC,20
2022-06-23 18:23:45.818284+10:00,SBS,12
2022-06-23 18:24:05.300723+10:00,News,0
2022-06-23 18:24:07.098988+10:00,SMH,9
2022-06-24 06:17:59.332284+10:00,ABC,20
2022-06-24 06:18:18.468362+10:00,SBS,12
2022-06-24 06:18:40.065961+10:00,News,0
2022-06-24 06:18:42.033079+10:00,SMH,9
2022-06-24 18:21:45.926016+10:00,ABC,20
2022-06-24 18:22:07.133546+10:00,SBS,12
2022-06-24 18:22:32.507809+10:00,News,0
2022-06-24 18:22:34.421207+10:00,SMH,6
2022-06-25 06:17:16.127044+10:00,ABC,20
2022-06-25 06:17:37.346677+10:00,SBS,12
2022-06-25 06:18:01.513236+10:00,News,0
2022-06-25 06:18:03.238154+10:00,SMH,10
2022-06-25 18:19:47.196469+10:00,ABC,20
2022-06-25 18:20:07.842022+10:00,SBS,12
2022-06-25 18:20:23.921786+10:00,News,0
2022-06-25 18:20:25.803357+10:00,SMH,9
2022-06-26 06:17:24.619554+10:00,ABC,20
2022-06-26 06:17:46.713538+10:00,SBS,12
2022-06-26 06:18:04.283935+10:00,News,0
2022-06-26 06:18:06.077916+10:00,SMH,10
2022-06-26 18:19:02.450968+10:00,ABC,20
2022-06-26 18:19:24.984361+10:00,SBS,12
2022-06-26 18:19:41.784609+10:00,News,0
2022-06-26 18:19:43.489223+10:00,SMH,9
2022-06-27 06:16:21.529711+10:00,ABC,20
2022-06-27 06:16:38.457009+10:00,SBS,12
2022-06-27 06:16:54.624050+10:00,News,0
2022-06-27 06:16:56.406797+10:00,SMH,7
2022-06-27 18:23:36.496112+10:00,ABC,20
2022-06-27 18:23:56.612622+10:00,SBS,12
2022-06-27 18:24:11.929254+10:00,News,0
2022-06-27 18:24:13.833929+10:00,SMH,8
2022-06-28 06:17:18.501559+10:00,ABC,20
2022-06-28 06:17:41.764181+10:00,SBS,12
2022-06-28 06:18:01.793390+10:00,News,0
2022-06-28 06:18:03.471372+10:00,SMH,8
2022-06-28 18:23:42.041957+10:00,ABC,20
2022-06-28 18:24:00.471816+10:00,SBS,12
2022-06-28 18:24:16.150221+10:00,News,0
2022-06-28 18:24:17.872502+10:00,SMH,7
2022-06-29 06:18:47.097754+10:00,ABC,20
2022-06-29 06:19:04.479774+10:00,SBS,12
2022-06-29 06:19:18.453033+10:00,News,0
2022-06-29 06:19:20.260316+10:00,SMH,8
2022-06-29 18:24:09.490941+10:00,ABC,20
2022-06-29 18:24:30.120492+10:00,SBS,12
2022-06-29 18:24:47.564727+10:00,News,0
2022-06-29 18:24:49.328151+10:00,SMH,8
2022-06-30 06:18:54.641047+10:00,ABC,20
2022-06-30 06:19:15.713854+10:00,SBS,12
2022-06-30 06:19:34.060635+10:00,News,0
2022-06-30 06:19:35.772552+10:00,SMH,7
2022-06-30 18:24:03.541276+10:00,ABC,20
2022-06-30 18:24:25.101599+10:00,SBS,12
2022-06-30 18:24:45.931972+10:00,News,0
2022-06-30 18:24:47.859367+10:00,SMH,5
2022-07-01 06:18:09.875574+10:00,ABC,20
2022-07-01 06:18:30.630243+10:00,SBS,12
2022-07-01 06:18:48.129861+10:00,News,0
2022-07-01 06:18:49.831993+10:00,SMH,7
2022-07-01 18:22:34.652194+10:00,ABC,20
2022-07-01 18:22:56.846881+10:00,News,0
2022-07-01 18:22:58.788754+10:00,SMH,5
2022-07-02 06:18:42.981340+10:00,ABC,20
2022-07-02 06:19:05.121427+10:00,SBS,12
2022-07-02 06:19:25.546663+10:00,News,0
2022-07-02 06:19:27.443153+10:00,SMH,10
2022-07-02 18:19:45.225718+10:00,ABC,20
2022-07-02 18:20:13.232241+10:00,News,0
2022-07-02 18:20:14.878621+10:00,SMH,6
2022-07-03 06:17:12.166947+10:00,ABC,20
2022-07-03 06:17:39.160266+10:00,News,0
2022-07-03 06:17:40.794449+10:00,SMH,10
2022-07-03 18:18:55.039612+10:00,ABC,20
2022-07-03 18:19:25.671922+10:00,News,0
2022-07-03 18:19:27.385499+10:00,SMH,9
2022-07-04 06:16:24.775892+10:00,ABC,20
2022-07-04 06:16:55.012076+10:00,News,0
2022-07-04 06:16:56.789655+10:00,SMH,9
2022-07-04 18:21:42.735944+10:00,ABC,20
2022-07-04 18:22:02.769067+10:00,SBS,12
2022-07-04 18:22:20.733834+10:00,News,0
2022-07-04 18:22:22.548693+10:00,SMH,9
2022-07-05 06:16:58.722417+10:00,ABC,20
2022-07-05 06:17:21.223763+10:00,SBS,12
2022-07-05 06:17:42.262288+10:00,News,0
2022-07-05 06:17:44.178411+10:00,SMH,8
2022-07-05 18:20:50.491826+10:00,ABC,20
2022-07-05 18:21:18.170536+10:00,News,0
2022-07-05 18:21:19.991264+10:00,SMH,8
2022-07-06 06:17:55.735033+10:00,ABC,20
2022-07-06 06:18:28.997512+10:00,News,0
2022-07-06 06:18:30.736231+10:00,SMH,9
2022-07-06 18:21:16.471759+10:00,ABC,20
2022-07-06 18:21:47.163977+10:00,News,0
2022-07-06 18:21:48.996002+10:00,SMH,7
2022-07-07 06:17:33.428188+10:00,ABC,20
2022-07-07 06:18:08.961167+10:00,News,0
2022-07-07 06:18:10.753573+10:00,SMH,9
2022-07-07 18:22:11.115641+10:00,ABC,20
2022-07-07 18:22:43.905893+10:00,News,0
2022-07-07 18:22:45.672828+10:00,SMH,7
2022-07-08 06:17:58.252709+10:00,ABC,20
2022-07-08 06:18:32.046042+10:00,News,0
2022-07-08 06:18:33.730488+10:00,SMH,10
2022-07-08 18:23:39.207846+10:00,ABC,20
2022-07-08 18:23:57.402329+10:00,SBS,12
2022-07-08 18:24:13.252904+10:00,News,0
2022-07-08 18:24:15.167200+10:00,SMH,7
2022-07-09 06:19:34.096219+10:00,ABC,20
2022-07-09 06:19:52.181628+10:00,SBS,12
2022-07-09 06:20:10.687465+10:00,News,0
2022-07-09 06:20:12.490119+10:00,SMH,10
2022-07-09 18:19:57.095763+10:00,ABC,20
2022-07-09 18:20:34.508440+10:00,News,0
2022-07-09 18:20:36.179179+10:00,SMH,8
2022-07-10 06:16:21.471097+10:00,ABC,20
2022-07-10 06:16:39.596683+10:00,SBS,12
2022-07-10 06:16:54.727010+10:00,News,0
2022-07-10 06:16:56.453880+10:00,SMH,10
2022-07-10 18:19:23.083837+10:00,ABC,20
2022-07-10 18:19:46.429627+10:00,SBS,12
2022-07-10 18:20:05.418430+10:00,News,0
2022-07-10 18:20:07.161573+10:00,SMH,10
2022-07-11 06:16:34.687144+10:00,ABC,20
2022-07-11 06:16:55.315999+10:00,SBS,12
2022-07-11 06:17:13.892526+10:00,News,0
2022-07-11 06:17:15.607455+10:00,SMH,9
2022-07-11 18:22:12.476076+10:00,ABC,20
2022-07-11 18:22:34.211911+10:00,SBS,12
2022-07-11 18:22:51.511081+10:00,News,0
2022-07-11 18:22:53.180026+10:00,SMH,10
2022-07-12 06:18:33.496972+10:00,ABC,20
2022-07-12 06:18:58.094832+10:00,News,0
2022-07-12 06:18:59.746535+10:00,SMH,8
2022-07-12 18:22:51.759536+10:00,ABC,20
2022-07-12 18:23:15.645521+10:00,SBS,12
2022-07-12 18:23:31.414511+10:00,News,0
2022-07-12 18:23:33.030064+10:00,SMH,7
2022-07-13 06:18:11.420998+10:00,ABC,20
2022-07-13 06:18:34.130614+10:00,SBS,12
2022-07-13 06:18:53.421670+10:00,News,0
2022-07-13 06:18:55.282072+10:00,SMH,9
2022-07-13 18:21:57.227359+10:00,ABC,20
2022-07-13 18:22:13.404892+10:00,SBS,12
2022-07-13 18:22:31.231596+10:00,News,0
2022-07-13 18:22:32.999394+10:00,SMH,7
2022-07-14 06:18:33.853494+10:00,ABC,20
2022-07-14 06:18:54.107592+10:00,SBS,12
2022-07-14 06:19:13.054556+10:00,News,0
2022-07-14 06:19:14.866019+10:00,SMH,7
2022-07-14 18:21:27.404105+10:00,ABC,20
2022-07-14 18:21:58.643272+10:00,News,0
2022-07-14 18:22:00.494677+10:00,SMH,8
2022-07-15 06:18:23.998440+10:00,ABC,20
2022-07-15 06:18:55.918140+10:00,News,0
2022-07-15 06:18:57.679195+10:00,SMH,8
2022-07-15 18:21:49.835304+10:00,ABC,20
2022-07-15 18:22:11.090343+10:00,SBS,12
2022-07-15 18:22:31.498179+10:00,News,0
2022-07-15 18:22:33.538370+10:00,SMH,8
2022-07-16 06:17:56.289852+10:00,ABC,20
2022-07-16 06:18:18.755371+10:00,SBS,12
2022-07-16 06:18:36.215770+10:00,News,0
2022-07-16 06:18:37.864708+10:00,SMH,10
2022-07-16 18:20:01.495288+10:00,ABC,20
2022-07-16 18:20:22.857415+10:00,SBS,12
2022-07-16 18:20:40.830469+10:00,News,0
2022-07-16 18:20:42.549733+10:00,SMH,8
2022-07-17 06:16:42.701318+10:00,ABC,20
2022-07-17 06:17:04.035132+10:00,SBS,12
2022-07-17 06:17:23.057233+10:00,News,0
2022-07-17 06:17:24.855597+10:00,SMH,10
2022-07-17 18:19:11.127455+10:00,ABC,20
2022-07-17 18:19:33.676427+10:00,SBS,12
2022-07-17 18:19:50.565951+10:00,News,0
2022-07-17 18:19:52.411294+10:00,SMH,9
2022-07-18 06:16:54.019676+10:00,ABC,20
2022-07-18 06:17:18.173295+10:00,SBS,12
2022-07-18 06:17:37.156572+10:00,News,0
2022-07-18 06:17:38.941444+10:00,SMH,8
2022-07-18 18:22:43.508413+10:00,ABC,20
2022-07-18 18:23:07.698264+10:00,SBS,12
2022-07-18 18:23:27.136733+10:00,News,0
2022-07-18 18:23:29.050837+10:00,SMH,7
2022-07-19 06:17:49.587729+10:00,ABC,20
2022-07-19 06:18:12.787717+10:00,SBS,12
2022-07-19 06:18:44.154530+10:00,News,0
2022-07-19 06:18:45.848007+10:00,SMH,9
2022-07-19 18:21:21.744238+10:00,ABC,20
2022-07-19 18:21:53.253810+10:00,News,0
2022-07-19 18:21:55.274179+10:00,SMH,5
2022-07-20 06:18:00.360245+10:00,ABC,20
2022-07-20 06:18:37.904722+10:00,News,0
2022-07-20 06:18:39.787115+10:00,SMH,8
2022-07-20 18:24:00.501475+10:00,ABC,20
2022-07-20 18:24:23.406949+10:00,SBS,12
2022-07-20 18:24:44.469191+10:00,News,0
2022-07-20 18:24:46.540072+10:00,SMH,9
2022-07-21 06:19:01.660381+10:00,ABC,20
2022-07-21 06:19:21.432144+10:00,SBS,12
2022-07-21 06:19:38.154834+10:00,News,0
2022-07-21 06:19:39.921026+10:00,SMH,8
2022-07-21 18:21:48.560908+10:00,ABC,20
2022-07-21 18:22:23.139234+10:00,News,0
2022-07-21 18:22:24.981209+10:00,SMH,8
2022-07-22 06:19:18.524228+10:00,ABC,20
2022-07-22 06:19:48.742714+10:00,News,0
2022-07-22 06:19:50.450949+10:00,SMH,9
2022-07-22 18:24:18.296231+10:00,News,0
2022-07-22 18:24:20.127645+10:00,SMH,10
2022-07-23 06:18:26.654724+10:00,ABC,20
2022-07-23 06:19:08.448024+10:00,News,0
2022-07-23 06:19:10.245951+10:00,SMH,10
2022-07-23 18:21:29.306997+10:00,ABC,20
2022-07-23 18:21:49.469737+10:00,SBS,12
2022-07-23 18:22:06.504411+10:00,News,0
2022-07-23 18:22:08.426011+10:00,SMH,10
2022-07-24 06:17:19.524932+10:00,ABC,20
2022-07-24 06:17:41.309613+10:00,SBS,12
2022-07-24 06:18:02.855459+10:00,News,0
2022-07-24 06:18:04.805815+10:00,SMH,10
2022-07-24 18:20:34.038819+10:00,SBS,12
2022-07-24 18:20:52.261635+10:00,News,0
2022-07-24 18:20:54.115229+10:00,SMH,10
2022-07-25 06:17:33.503401+10:00,ABC,20
2022-07-25 06:17:58.383735+10:00,SBS,12
2022-07-25 06:18:15.028630+10:00,News,0
2022-07-25 06:18:16.829991+10:00,SMH,10
2022-07-25 18:24:08.847764+10:00,SBS,12
2022-07-25 18:24:27.382120+10:00,News,10
2022-07-25 18:25:00.066412+10:00,SMH,9
2022-07-26 06:17:25.316070+10:00,ABC,20
2022-07-26 06:17:42.449451+10:00,SBS,12
2022-07-26 06:18:01.120363+10:00,News,0
2022-07-26 06:18:03.127880+10:00,SMH,7
2022-07-26 18:21:06.615505+10:00,ABC,20
2022-07-26 18:21:25.119732+10:00,SBS,12
2022-07-26 18:21:46.435930+10:00,News,0
2022-07-26 18:21:48.307400+10:00,SMH,10
2022-07-27 06:17:53.079095+10:00,ABC,20
2022-07-27 06:18:22.337041+10:00,News,0
2022-07-27 06:18:24.124813+10:00,SMH,8
2022-07-27 18:21:21.795917+10:00,ABC,20
2022-07-27 18:21:47.246632+10:00,News,0
2022-07-27 18:21:49.014527+10:00,SMH,8
2022-07-28 06:17:42.831094+10:00,ABC,20
2022-07-28 06:18:10.772685+10:00,News,0
2022-07-28 06:18:12.553952+10:00,SMH,8
2022-07-28 18:23:32.427295+10:00,ABC,20
2022-07-28 18:24:13.125629+10:00,News,0
2022-07-28 18:24:15.024333+10:00,SMH,5
2022-07-29 06:19:09.639528+10:00,ABC,20
2022-07-29 06:19:37.029547+10:00,News,0
2022-07-29 06:19:38.808080+10:00,SMH,8
2022-07-29 18:21:37.821424+10:00,ABC,20
2022-07-29 18:22:01.145298+10:00,News,0
2022-07-29 18:22:03.220857+10:00,SMH,8
2022-07-30 06:17:54.496749+10:00,ABC,20
2022-07-30 06:18:22.347714+10:00,News,0
2022-07-30 06:18:24.192971+10:00,SMH,10
2022-07-30 18:20:20.396874+10:00,ABC,20
2022-07-30 18:20:50.064756+10:00,News,0
2022-07-30 18:20:51.824536+10:00,SMH,5
2022-07-31 06:16:22.370800+10:00,ABC,20
2022-07-31 06:16:49.549037+10:00,News,0
2022-07-31 06:16:51.443692+10:00,SMH,10
2022-07-31 18:19:37.963787+10:00,ABC,20
2022-07-31 18:20:09.389634+10:00,News,0
2022-07-31 18:20:11.368089+10:00,SMH,9
2022-08-01 06:17:25.519382+10:00,ABC,20
2022-08-01 06:18:04.237788+10:00,News,0
2022-08-01 06:18:06.004980+10:00,SMH,7
2022-08-01 18:22:42.459348+10:00,ABC,20
2022-08-01 18:23:11.842923+10:00,News,0
2022-08-01 18:23:13.580174+10:00,SMH,6
2022-08-02 06:21:29.000823+10:00,ABC,20
2022-08-02 06:22:02.242061+10:00,News,0
2022-08-02 06:22:04.035537+10:00,SMH,8
2022-08-02 18:21:58.545829+10:00,ABC,20
2022-08-02 18:22:22.024396+10:00,SBS,12
2022-08-02 18:22:39.799024+10:00,News,0
2022-08-02 18:22:41.533946+10:00,SMH,6
2022-08-03 06:19:33.864529+10:00,ABC,20
2022-08-03 06:20:01.324389+10:00,News,0
2022-08-03 06:20:03.314116+10:00,SMH,9
2022-08-03 18:23:41.574340+10:00,ABC,20
2022-08-03 18:24:16.248871+10:00,News,0
2022-08-03 18:24:17.924322+10:00,SMH,5
2022-08-04 06:18:38.341685+10:00,ABC,20
2022-08-04 06:19:10.604971+10:00,News,0
2022-08-04 06:19:12.452995+10:00,SMH,8
2022-08-04 18:25:43.876774+10:00,ABC,20
2022-08-04 18:26:02.165717+10:00,SBS,12
2022-08-04 18:26:21.020877+10:00,News,0
2022-08-04 18:26:22.760318+10:00,SMH,5
2022-08-05 06:18:43.712061+10:00,ABC,20
2022-08-05 06:19:16.169638+10:00,News,0
2022-08-05 06:19:18.019629+10:00,SMH,9
2022-08-05 15:17:54.709798+10:00,ABC,20
2022-08-05 15:18:13.855538+10:00,SBS,12
2022-08-05 15:18:35.269560+10:00,News,0
2022-08-05 15:18:37.120200+10:00,SMH,10
2022-08-05 15:19:57.238944+10:00,ABC,20
2022-08-05 15:20:15.759784+10:00,SBS,12
2022-08-05 15:20:30.487623+10:00,News,0
2022-08-05 15:20:32.273847+10:00,SMH,10
2022-08-05 18:21:35.249098+10:00,ABC,20
2022-08-05 18:21:59.633310+10:00,News,0
2022-08-05 18:22:01.395257+10:00,SMH,6
2022-08-05 20:30:18.718467+10:00,ABC,20
2022-08-05 20:30:40.393258+10:00,News,0
2022-08-05 20:30:42.239474+10:00,SMH,7
2022-08-06 06:17:54.405488+10:00,ABC,20
2022-08-06 06:18:23.125361+10:00,News,0
2022-08-06 06:18:25.065387+10:00,SMH,10
2022-08-06 07:07:47.718758+10:00,ABC,20
2022-08-06 07:08:22.468411+10:00,News,0
2022-08-06 07:08:24.403001+10:00,SMH,10
2022-08-06 07:10:18.003475+10:00,ABC,20
2022-08-06 07:10:47.819135+10:00,News,0
2022-08-06 07:10:49.889074+10:00,SMH,10
2022-08-06 07:15:06.388574+10:00,ABC,20
2022-08-06 07:15:32.024716+10:00,News,0
2022-08-06 07:15:34.065696+10:00,SMH,10
2022-08-06 07:17:20.321164+10:00,ABC,20
2022-08-06 07:17:47.357351+10:00,News,0
2022-08-06 07:17:49.238505+10:00,SMH,10
2022-08-06 07:23:25.481112+10:00,ABC,20
2022-08-06 07:23:54.110971+10:00,News,0
2022-08-06 07:23:55.958502+10:00,SMH,10
